Sentimiento,Regiones
N,Colombia
N,Colombia
N,Cundinamarca
N,Quito
P,Entrerrios
N,Usa
N,En algun lugar del mundo
N,En algun lugar del mundo
N,Colombia
N,Antioquia
N,Cienaga
N,Colombia
N,Colombia
N,Bolivar
P,Cundinamarca
N,Cundinamarca
P,Cundinamarca
N,Cundinamarca
N,Cundinamarca
N,Colombia
N,Guayaquil
N,Monteria
P,Colombia
N,Cundinamarca
N,Colombia
N,Colombia
N,Colombia
N,Nariño
N,Calicolombia
N,Colombia
N,Canada
N,Colombia
N,Cundinamarca
N,Cundinamarca
N,London uk
N,Colombia
P,Colombia
N,Colombia
N,Colombia
N,Valle del Cauca
N,Colombia
N,Atlantico
N,Colombia
N,Valle del Cauca
N,Quibdo
N,Ecuador
N,Colombia
N,Colombia
N,Colombia
N,Colombia
N,Leo y escribo en toluca
N,Colombia
N,Colombia
N,Guayaquil
N,Villavicencio 
N,En la comunidad europea
N,Colombia
N,Valle del Cauca
N,Guayaquil ecuador
N,Colombia
N,world wide
N,Colombia
N,Santander
N,Buenos aires
N,Venezuela
N,Colombia
N,Antioquia
P,Colombia
N,Colombia
N,Atlantico
N,Colombia
N,Colombia
N,Rincon de santa ines i etapa
N,Cundinamarca
N,Colombia
P,Colombia
N,Colombiano
N,Machala
P,El mundo
N,Lincoln
N,Arpanet
P,San salvador
N,Bogota dc colombia
N,Bogota dc colombia
N,Colmbia
N,Colombia
N,Colombia
N,Colombia
N,Mississauga
N,Venezolana 
N,Colombia
N,Colombia
P,Santander
N,jhpelaez 
N,Ecuador
N,Colombia
N,Colombia
N,Colombia
N,Nippon
P,Antioquia
N,Colombia
N,Barranquilla colombia
N,Antioquia
N,Valle del Cauca
N,Quibdo
N,Rio de janeiro
N,Colombia
N,Colombia
N,Valle del Cauca
N,Cundinamarca
N,Colombia
P,Colombia
N,Colombia
P,Ecuador
N,Colombia
N,Colombia
NEU,Colombia
N,Colombia
N,Salvador
N,Argentina
N,Guayaquil
N,Colombia
P,Washington heights
N,Colombia
N,Usa
P,Colombia
N,Cundinamarca
N,Colombia
N,En mi casa pues 0 baaaaaah
P,En mi casa pues 0 baaaaaah
N,Bogta
N,El universo
N,Colombia patria mia
N,Colombia patria mia
N,Colombia patria mia
N,Colombia patria mia
N,Luxury real estate development  equities samurai
N,Jalos y guadalajara
